1016|5
98876|83
2206|75
1129|33
1138|103
115228|2,17,18
128|27
4562|27
239|92
2106|18
9664|25
1218|63,64,67,280
8847|70
237|92
2705|100
143|74,92
347|90,91
1084|77
50|67
36|75
2211|88
652|92
3558|104
2075|18
1271|38,42
248|25,26
4056|62
107439|92
964|276
1126|10
1033|276
9652|18
131|27,75
3560|104
814|278
671|92
109456|92
327|90
2688|95
655|92
4568|102
2067|18
2695|69
136|42,281
98857|10,52,74
4676|10
2690|95
4669|13,52
2716|98,99,332
107441|92
1094|8
813|278
107417|93
2224|82
2702|100
1987|69
2235|12
78|11,70
4739|92
2115|18
997|106
4685|52,92
1474|79,81,276
4591|74
98863|67,279
1650|39,296
102470|49,81,276
881|48
4564|100
912|93
832|88
9376|10,81
9680|79
1090|84
2735|94
4512|33
1479|34,81
102467|49,60,81,276
118|63,79
249|63
109466|36
1045|2,48,79
9660|81
563|94
1627|43,276
4388|34,49,79
114744|17,18
4015|47,63,70,77
4458|78
784|51
4382|20,281
1175|25
2099|16
58|25
108695|43,276
2064|18
112692|106
1128|33
8793|83
112647|16
1|103
2703|100
4596|74,92
1098|8
9166|78
41223|64
4738|92
9333|79
98855|10,74
4384|79
4569|102
2237|12
2078|18
357|34
644|92
1058|63
1185|33,43
788|51
3559|104
60|281
1284|41
109479|92
1533|79
645|92
2147|18
2217|77
961|276
3552|104
112639|48,79
115247|79
4386|34
183|23
163|78
109458|92
109482|2,79
9083|12
1059|4,13,63
447|91,92
2288|13
114760|35
9791|98
224|65
8710|10,52,74
1120|16
8871|38,52
1019|2
2683|94
2248|18
98869|16
109476|74,92
1100|8
9686|39
9332|79
9282|79
252|48,63,70,79
8862|27
172|42
2213|61,88
597|92
8866|43
925|67
114759|35
1561|48,72,79,280
2239|13
9086|12,97
213|25
2126|17,18
924|48
112686|29
4590|74
4038|69,95
39|75
109502|18
9173|49,81,276
1305|278
2714|98,99
8859|85
72|26
1475|34
2343|101
9088|97
107412|281
1163|276
114746|17,18
8790|67,279
4761|16
102488|69
2112|65
363|90
524|5
4668|13
4484|34
1183|43
1119|16
142|74,92
2246|10
108696|43
109446|82
4572|5,102
2710|64
109459|92
112648|16
8112|99
76|11
115284|106
1083|77
4468|24,42,95,312
2733|94
1613|58,93
225|48
14841|75
4534|61
2184|35
9369|27
4058|62,276
1639|81
4674|11
1184|43
8720|61
1144|278
8841|83
2214|77
1130|33
955|84
2712|98,99,105
891|75
9175|34
109453|93
1498|90,94
2181|35
8718|61,88,95
1158|100
999|106
3522|101
911|93
834|54,276
839|82
8794|83
37|75
108697|43
853|70,78
2713|98,99
9085|12
1254|77
4557|81
358|35
601|62
114749|16,83
1139|103
2270|12
1040|8
9401|16
109447|82
639|90,100
672|92
897|276
8869|79
9291|92
9659|81
109501|18
109519|47
1623|36
4740|92
564|94
9177|34
2244|13,52
4483|69
9615|43
643|92
112677|92
9669|93
2101|18
1580|33
2103|65
2185|35
9616|276
114740|18
98856|10,74
166|78
112637|280
9090|70,74
849|77
102485|69,87,95
109467|79,81
4503|18
115246|79
466|40
9176|34
1476|34
1004|106
2715|98,99
9174|49,81,276
177|5
2199|13
2286|13
9062|79
2081|18
408|95
1145|76
1036|103,276
4066|92
346|90
52|48,64,67
2267|13
343|91
3534|92
2247|10
9084|12
4014|47
1012|106
2109|18
4551|278
960|276
98871|17
1096|8
2110|18
61|25,26,281
1088|84
820|79
1597|33,79
112668|70
2711|48,64,67
2726|98,99
2127|2,17,18
831|88
1674|8,63,64
2232|12
230|49
4065|92
1131|33
116172|2,10
9286|16,83
472|90
2209|75
4571|5
3535|92
112636|280
4385|34
328|90
102496|75
2268|12
4514|33,82
1080|70
9185|78
4068|74
837|82
8791|67,279
9000|10
8867|43
112667|70
2686|95
478|90,91
785|10
115253|16
109439|5,102,375,376
2263|12
107431|104
4525|52,70
2241|52
98835|69,95,277
8864|95
9651|10,18
9681|94
4420|81
1124|79
1214|63
102495|75
9156|75
140|74,92
939|54,63
1032|276
2118|17,18
660|92
4387|49
654|92
821|79
1735|38
339|95
41|75
9682|94
456|90
2104|65
98870|16
1626|79,81
4247|99
1570|10,33,52,81,276
9675|94
1177|34
9290|92
1015|81,276
9183|49,70,78
165|78
4523|70
368|21
9178|34
114742|17,18
882|48,61,88
9165|78
109500|18
8719|95
4563|100
4059|79
8861|27,95
112644|88
2245|18
112645|88
2198|13
651|92
4546|103,293
204|81
8840|83
115252|16
4559|42,79,81
4069|74
4070|92
1153|63
2194|35
1000|106
1982|96
9287|16,83
1172|39,278
109448|82
4080|86
112691|106
602|92
2063|10,18
1217|63
115251|281
2731|94
109485|67
4537|105
979|78
2256|14
399|81
838|82
205|30,81
9673|2,79
8985|79
9179|70,78
361|81,276
232|92
8788|17
2732|94
8716|10,74
109481|2,48,79
9665|22
8800|83
132|281
936|10,46
8994|97
1038|8,103
441|91
109475|74,92
112656|18
74|25,26
2238|12
1133|95
4084|8,52
9676|90
112676|92
234|92
112678|18
2113|65
1989|69,92,97
2146|18
892|75
2171|18
3536|92
4538|105
1013|106
1186|47
86|48,63,79
341|95
1132|10,33
1501|92
16|106
49|48
14|106
1300|39
1123|79
474|10,90,92,94,104
2102|65
980|70,78
2266|12,13
4656|48
8848|70
109472|81
36946|69
109465|18
4047|105
2107|18
2223|82
109454|58
340|95
1988|97
525|5
176|5
8787|16
2076|18
4396|94
98837|95
113|75
102461|92
9061|81
114743|17,18
4418|81
2074|18
895|276
9163|70
112685|25
1011|106
353|91
1081|77
200|81
3542|92
862|70,78
1018|77
111|75
1056|4,13
9792|98
4570|102
8113|99
440|91
110315|103
3540|92
109442|102
9293|92
1159|100
129|27
9662|35
141|74,92
8996|97
967|78
9658|75
3537|92
109441|102
984|106
109445|82
1488|104
366|21
4741|52
8986|79
865|67
115249|20,281
2132|16
98862|67,279
109483|48
115231|2,18
833|88
4518|12
789|10,51
1062|103
174|38,42
112690|106
409|95
1006|106
1116|16
2108|18
1283|34
2260|8,14
1150|67
364|90
9370|27
1082|77
9292|92
1983|96
4898|99
2696|34
1357|30,31,32
470|94
3532|92
144|92
2105|18,65
360|34
329|90
2096|17,18
4400|90,91,94
48|64
438|91
1037|8,103
1503|27
850|70
107429|104
674|92
659|92
2098|16
1516|93,100
127|27
9614|43
35|75
878|70
598|62
2697|69,94,95
4550|21,30,74
661|92
1146|48
2065|10,18
98874|83
9001|58
4588|74
1563|23,281
4381|281
464|79
2730|106
2672|86,87
2221|82
109480|92
112635|48,72,79,280
367|22
989|106
98854|10,52,74
1089|84
115254|16
4063|61,101
98860|67,279
4057|276
467|40,79
112646|16
2698|34,69,94,95
640|92
40|75
114753|16,83
112638|79
4635|30
115255|16
1581|16
476|91
1181|34
102494|75
9668|93
9279|104
98868|16,17
109478|74,92
1147|47
879|70,78
77|70
2201|9,13
2345|35
4533|88
2262|12
9655|5
120|48,63,79
1097|8
1490|16,83
2094|17,18
1252|77
9162|70,78,92
646|92
1615|47,276
109474|74,92
998|106
2734|94
246|25
1215|280
2264|12
9373|79
9371|280
1643|281
112683|21
9678|78,89
4760|16
662|92
822|79
107419|93
2196|35
9677|78,89
9663|25
114741|17,18
73|25
1644|79
2227|82
9091|74
648|92
2719|103,106
462|90
9284|79
9171|49,60,81,276
2289|9,13
114751|16,83
2242|12,13
1262|2
109449|82
460|91
649|92
1351|32
4519|12
4039|95
4902|99,100
1137|103
3551|104
669|92
457|90
4555|10,55,278
4466|312
1596|47
2220|82
852|78
1616|5
247|26
8786|16
9650|58
1189|47,49,77,78
461|91
585|92
2066|10,18
1001|106
227|48
2068|10,18
2718|103
115232|17,18
1984|58,96
102469|49,81,276
356|90,91
4076|106
116|75
75|11
4003|86
523|5
599|62
988|106
1028|276
4071|96
9375|33,81,276
4052|99,105
98878|83
4485|94
9377|52,81
2111|65
986|106
115229|2,18
110|75
109477|74,92
175|5
109457|92
1607|93,104
1625|90,94
1261|2
658|92
2717|103
115269|18
107435|92
3553|104
890|75
184|23
4589|74
2197|9
2685|94,95
4048|99
4543|103
603|62,92
2257|8
4049|99
109520|47
2222|82
2097|16
2114|18,65
1253|77
653|92
115226|32
4900|99
4051|99
4548|21
2230|12
1002|106
677|92
809|70
2215|77
9283|79
8863|27
326|90
109484|2,79
178|5
594|92
656|92
355|90
4513|82
112675|92
110313|103
9055|102
8849|70
9289|92
4421|10,34,81
8785|16,17
2682|94
600|62
1178|34
214|22
107438|92
109450|82
2083|18
836|54,63,66,276
109451|82
1136|95
4486|34,69,94
810|70
1063|103
109464|10,18
115250|281
4553|278
250|79
477|90
112669|70
439|91
114752|16,83
130|27
112682|21,25
107418|93
583|92
9372|280
4040|277
9790|98
107436|92
4062|61
4566|93,100
4565|100
8858|85
116173|10
4465|42
9164|78
2182|35
45033|82
109435|101
8820|83
34|75
2229|82
1648|22,25
962|276
2148|18
475|91
4667|10,40,95
