12501|50218
12228|48183
13522|61560
13646|60415
11271|40764
13149|59882
13158|59931
12914|57560
12456|49072
12618|49343
12640|23907
13219|59970
12942|49076
13622|63420
12340|11804
12603|54411
11793|45694
12490|23335
11532|33567
12782|57003
13086|59670
13482|62000
14070|58932
13240|60430
12801|57045
12519|12383
13226|60119
12995|58725
12333|12013
13481|62006
12984|58597
12925|57560
12507|43015
13249|60435
11848|22079
12198|47508
13578|63066
10372|22261
11324|19638
11342|19429
12460|47760
12285|49076
13495|62088
11353|35732
12698|55938
11424|22079
12572|47760
14074|63367
12315|45778
12575|50213
13090|59687
13689|63906
12699|55938
12675|55690
13474|61973
12806|57051
12443|50794
13583|63101
12536|20542
12941|55235
13214|60029
11355|14630
11344|12383
13047|59505
12408|49076
13662|63792
13401|61566
12087|48141
13606|49076
12542|52667
12696|55938
12951|45797
12924|57560
13396|61560
13227|59970
13485|61566
13230|60326
12432|49070
13627|63417
12528|53106
11958|36238
13254|60445
12939|58033
12538|18419
13256|60450
13314|61119
13369|60541
13221|60029
11412|22551
12106|47664
13298|54254
12642|55235
12562|19638
13161|59942
12467|10646
13423|61670
12520|12383
11736|45263
12438|23907
12253|46162
12138|41451
12661|55425
13152|59915
12068|46191
12455|49076
12822|57053
13659|63777
11472|14848
13262|60478
12407|49072
11993|47358
13734|64067
11407|24116
13257|60450
11788|45176
13246|60435
12895|57045
12861|57183
12512|52749
12866|57183
12529|44244
12316|46150
12300|47760
12321|11161
12908|57522
13580|63103
12351|42999
11437|12731
11339|22763
12580|40934
11387|23335
13255|60445
13261|60448
11475|27633
13375|60430
13083|59518
13494|62088
12429|46611
11364|12013
13483|62000
12663|55451
13225|60119
13297|54254
